"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"112752","Clover (T. rueppellianum)","89.70","48.61","50.61","7.90","12.94","85.25","","","","","","","","","","","","","","","Ethiopia"
"112753","Clover (T. rueppellianum)","89.51","46.88","50.54","7.45","12.88","86.21","","","","","","","","","","","","","","","Ethiopia"
"112754","Clover (T. rueppellianum)","89.35","45.93","48.49","6.86","9.00","86.47","","","","","","","","","","","","","","","Ethiopia"
"112755","Clover (T. rueppellianum)","90.08","49.57","53.30","8.41","9.50","88.44","","","","","","","","","","","","","","","Ethiopia"
"112756","Clover (T. rueppellianum)","90.18","49.35","53.14","8.35","9.38","88.31","","","","","","","","","","","","","","","Ethiopia"
"112757","Clover (T. rueppellianum)","89.89","50.29","54.43","9.39","7.38","89.99","","","","","","","","","","","","","","","Ethiopia"
"112758","Clover (T. rueppellianum)","90.15","49.89","53.09","7.76","8.50","89.13","","","","","","","","","","","","","","","Ethiopia"
"112786","Clover (T. rueppellianum)","88.90","27.74","30.38","7.64","28.63","90.43","","","","","","","","","","","","","","","Ethiopia"
"112787","Clover (T. rueppellianum)","89.20","27.57","38.06","6.51","24.81","91.73","","","","","","","","","","","","","","","Ethiopia"
"112788","Clover (T. rueppellianum)","89.33","25.22","37.31","6.38","25.13","91.94","","","","","","","","","","","","","","","Ethiopia"
"112789","Clover (T. rueppellianum)","89.56","25.78","38.34","7.01","23.38","91.68","","","","","","","","","","","","","","","Ethiopia"
"112790","Clover (T. rueppellianum)","89.23","25.84","36.45","5.68","25.50","91.55","","","","","","","","","","","","","","","Ethiopia"
"120255","Clover (T. rueppellianum)","90.40","","","","34.31","","","","","","","","","","","","","","","","Ethiopia"
"120256","Clover (T. rueppellianum)","90.42","","","","30.81","85.83","","","","","","","","","","","","","","","Ethiopia"
"120257","Clover (T. rueppellianum)","90.12","","","","29.56","85.80","","","","","","","","","","","","","","","Ethiopia"
"120258","Clover (T. rueppellianum)","90.40","","","","31.38","","","","","","","","","","","","","","","","Ethiopia"
"120259","Clover (T. rueppellianum)","90.58","","","","34.56","84.64","","","","","","","","","","","","","","","Ethiopia"
"120986","Clover (T. rueppellianum)","91.60","31.98","39.09","5.55","18.06","","","","","","","","","","","","","","","","Ethiopia"
"120987","Clover (T. rueppellianum)","91.59","35.99","43.63","6.81","17.75","90.76","","","","","","","","","","","","","","","Ethiopia"
"120988","Clover (T. rueppellianum)","91.72","35.06","40.86","6.31","15.56","91.11","","","","","","","","","","","","","","","Ethiopia"
"121010","Clover (T. rueppellianum)","91.21","49.60","52.86","9.16","8.69","90.95","","","","","","","","","","","","","","","Ethiopia"
"121011","Clover (T. rueppellianum)","91.48","","51.26","","9.00","92.96","","","","","","","","","","","","","","","Ethiopia"
"121012","Clover (T. rueppellianum)","90.91","50.75","55.00","9.18","8.06","91.36","","","","","","","","","","","","","","","Ethiopia"
"121013","Clover (T. rueppellianum)","90.96","56.22","60.16","9.94","6.69","91.22","","","","","","","","","","","","","","","Ethiopia"
"121101","Clover (T. rueppellianum)","92.36","","","","30.31","90.21","","","","","","","","","","","","","","","Ethiopia"
"121102","Clover (T. rueppellianum)","91.03","","","","28.88","90.32","","","","","","","","","","","","","","","Ethiopia"
"121103","Clover (T. rueppellianum)","90.66","","","","30.19","90.76","","","","","","","","","","","","","","","Ethiopia"
"121104","Clover (T. rueppellianum)","91.41","","","","28.75","90.80","","","","","","","","","","","","","","","Ethiopia"
"121105","Clover (T. rueppellianum)","91.34","","","","29.81","90.51","","","","","","","","","","","","","","","Ethiopia"
"121106","Clover (T. rueppellianum)","91.08","","","","31.63","90.23","","","","","","","","","","","","","","","Ethiopia"
"121107","Clover (T. rueppellianum)","91.06","","","","28.25","90.73","","","","","","","","","","","","","","","Ethiopia"
"121108","Clover (T. rueppellianum)","91.19","","","","28.81","90.95","","","","","","","","","","","","","","","Ethiopia"
"121109","Clover (T. rueppellianum)","91.83","","","","31.94","90.06","","","","","","","","","","","","","","","Ethiopia"
"121110","Clover (T. rueppellianum)","91.36","","","","30.00","90.60","","","","","","","","","","","","","","","Ethiopia"
"121111","Clover (T. rueppellianum)","91.45","","","","28.63","90.78","","","","","","","","","","","","","","","Ethiopia"
"121112","Clover (T. rueppellianum)","91.01","","","","29.13","91.29","","","","","","","","","","","","","","","Ethiopia"
"121113","Clover (T. rueppellianum)","91.45","","","","32.63","90.42","","","","","","","","","","","","","","","Ethiopia"
"121114","Clover (T. rueppellianum)","91.52","","","","32.56","90.33","","","","","","","","","","","","","","","Ethiopia"
"121115","Clover (T. rueppellianum)","91.50","","","","31.13","91.26","","","","","","","","","","","","","","","Ethiopia"
"121116","Clover (T. rueppellianum)","90.95","","","","28.63","91.40","","","","","","","","","","","","","","","Ethiopia"
"106248","Clover (T. steudneri)","94.73","","","","21.13","","","","","","","","","","","","","","","","Ethiopia"
"106496","Clover (T. steudneri)","92.98","","","","16.75","","2.40","12.20","","398.04","32.80","2.90","19.70","21.07","59.50","","","","","","Ethiopia"
"106497","Clover (T. steudneri)","92.77","","","","17.38","","2.30","12.00","","534.76","34.70","2.90","20.80","24.57","58.50","","","","","","Ethiopia"
"106498","Clover (T. steudneri)","91.35","","","","17.81","","2.60","13.20","","478.38","36.20","3.10","20.69","25.94","60.70","","","","","","Ethiopia"
"106499","Clover (T. steudneri)","92.35","","","","14.75","","2.60","11.40","","330.16","35.50","2.50","17.22","17.43","58.70","","","","","","Ethiopia"
"106502","Clover (T. steudneri)","93.30","","","","16.94","","2.40","","","","","","","","","","","","","","Ethiopia"
"106503","Clover (T. steudneri)","93.09","","","","15.06","","2.70","","","","","","","","","","","","","","Ethiopia"
"106508","Clover (T. steudneri)","93.34","","","","15.63","","2.20","","","","","","","","","","","","","","Ethiopia"
"106509","Clover (T. steudneri)","92.53","","","","12.38","","1.90","","","","","","","","","","","","","","Ethiopia"
"106463","Clover (T. quartinianum)","91.46","","","","16.63","86.02","1.30","","","","","","","","","","","","","","Ethiopia"
"106470","Clover (T. quartinianum)","92.81","","","","18.63","83.17","1.00","","","","","","","","","","","","","","Ethiopia"
"106471","Clover (T. quartinianum)","93.69","","","","17.69","86.56","1.00","","","","","","","","","","","","","","Ethiopia"
"106472","Clover (T. quartinianum)","93.64","","","","20.75","86.95","1.40","","","","","","","","","","","","","","Ethiopia"
"106473","Clover (T. quartinianum)","92.19","","","","18.19","86.18","1.40","","","","","","","","","","","","","","Ethiopia"
"106474","Clover (T. quartinianum)","92.52","","","","21.50","86.35","1.60","","","","","","","","","","","","","","Ethiopia"
"106475","Clover (T. quartinianum)","93.71","","","","18.06","84.38","1.10","","","","","","","","","","","","","","Ethiopia"
"106476","Clover (T. quartinianum)","94.04","","","","19.25","84.32","1.30","","","","","","","","","","","","","","Ethiopia"
"106477","Clover (T. quartinianum)","92.24","","","","20.25","85.99","1.50","","","","","","","","","","","","","","Ethiopia"
"106478","Clover (T. quartinianum)","93.66","","","","19.94","85.23","1.40","","","","","","","","","","","","","","Ethiopia"
"106479","Clover (T. quartinianum)","94.08","","","","18.94","85.10","1.20","","","","","","","","","","","","","","Ethiopia"
"106480","Clover (T. quartinianum)","93.83","","","","18.50","84.26","1.00","","","","","","","","","","","","","","Ethiopia"
"106481","Clover (T. quartinianum)","93.70","","","","17.63","84.27","1.40","","","","","","","","","","","","","","Ethiopia"
"106482","Clover (T. quartinianum)","93.26","","","","19.06","85.33","1.40","","","","","","","","","","","","","","Ethiopia"
"107527","Clover (T. quartinianum)","92.14","","","","16.38","87.38","3.60","9.30","","471.46","36.80","2.40","17.26","58.50","53.18","","","","","","Ethiopia"
"107538","Clover (T. quartinianum)","92.29","","","","13.81","87.32","2.80","9.70","","1101.85","28.50","2.90","14.30","98.39","44.21","","","","","","Ethiopia"
"108681","Clover (T. quartinianum)","93.10","","","","12.94","90.00","1.60","17.30","100.00","320.95","25.20","2.30","9.70","43.30","24.90","68.01","9.96","6.28","3.81","6.19","Ethiopia"
"112713","Clover (T. quartinianum)","90.32","26.07","40.67","3.58","30.25","81.47","","","","","","","","","","","","","","","Ethiopia"
"112714","Clover (T. quartinianum)","89.99","33.75","39.05","5.79","30.31","82.99","","","","","","","","","","","","","","","Ethiopia"
"112715","Clover (T. quartinianum)","90.21","28.97","32.44","5.22","28.56","84.80","","","","","","","","","","","","","","","Ethiopia"
"112716","Clover (T. quartinianum)","90.19","24.03","34.05","3.36","28.75","86.14","","","","","","","","","","","","","","","Ethiopia"
"112717","Clover (T. quartinianum)","90.02","24.94","28.87","3.00","27.31","86.18","","","","","","","","","","","","","","","Ethiopia"
"112718","Clover (T. quartinianum)","89.97","26.12","29.59","2.73","27.50","86.32","","","","","","","","","","","","","","","Ethiopia"
"112719","Clover (T. quartinianum)","89.93","24.71","30.86","3.21","26.00","86.81","","","","","","","","","","","","","","","Ethiopia"
"112720","Clover (T. quartinianum)","89.98","23.04","26.16","2.43","25.31","86.57","","","","","","","","","","","","","","","Ethiopia"
"112721","Clover (T. quartinianum)","89.97","25.03","30.13","3.10","21.38","86.25","","","","","","","","","","","","","","","Ethiopia"
