"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"56304","Sweet potato stem + vines","91.70","21.49","28.24","4.37","24.00","84.19","","","","","26.60","","","","","72.42","9.83","6.15","3.68","6.11","Rwanda"
"56305","Sweet potato stem + vines","92.40","17.42","25.27","3.48","25.99","84.86","","","","","25.10","","","","","73.07","10.00","6.32","3.85","6.23","Rwanda"
"56306","Sweet potato stem + vines","92.25","20.58","27.36","4.44","24.25","82.40","","","","","26.40","","","","","70.89","9.41","5.77","3.35","5.82","Rwanda"
"56307","Sweet potato stem + vines","92.51","21.71","31.30","4.07","21.12","84.43","","","","","29.30","","","","","72.61","9.87","6.19","3.72","6.15","Rwanda"
"56308","Sweet potato stem + vines","92.56","25.95","33.85","4.89","18.42","86.23","","","","","27.90","","","","","71.67","10.00","6.32","3.85","6.23","Rwanda"
"56309","Sweet potato stem + vines","92.58","24.12","31.92","4.76","20.70","85.41","","","","","32.20","","","","","69.43","9.58","5.94","3.51","5.94","Rwanda"
"56310","Sweet potato stem + vines","92.43","19.50","26.62","3.02","23.64","87.14","","","","","22.50","","","","","74.20","10.42","6.69","4.18","6.53","Rwanda"
"56312","Sweet potato stem + vines","91.77","23.97","31.15","5.53","21.41","85.67","","","","","22.30","","","","","70.74","9.79","6.11","3.68","6.11","Rwanda"
"56313","Sweet potato stem + vines","92.41","20.55","25.49","3.07","22.73","82.10","","","","","33.00","","","","","72.20","9.50","5.86","3.43","5.90","Rwanda"
"56314","Sweet potato stem + vines","91.63","25.13","34.67","5.63","18.46","87.42","","","","","22.10","","","","","69.74","9.87","6.19","3.72","6.15","Rwanda"
"56315","Sweet potato stem + vines","92.66","23.99","33.10","4.85","20.76","84.84","","","","","31.20","","","","","69.35","9.50","5.86","3.43","5.90","Rwanda"
"56316","Sweet potato stem + vines","92.16","24.30","32.69","4.29","20.00","87.08","","","","","25.40","","","","","71.82","10.13","6.44","3.93","6.32","Rwanda"
"56317","Sweet potato stem + vines","92.13","21.56","28.04","4.40","23.61","81.17","","","","","33.80","","","","","72.24","9.41","5.77","3.35","5.82","Rwanda"
"56318","Sweet potato stem + vines","92.37","23.38","31.74","4.35","22.22","86.87","","","","","28.00","","","","","73.42","10.29","6.57","4.06","6.44","Rwanda"
"56319","Sweet potato stem + vines","92.67","21.81","31.91","4.17","19.72","86.01","","","","","22.50","","","","","69.16","9.62","5.98","3.51","5.98","Rwanda"
"56320","Sweet potato stem + vines","92.03","23.24","31.25","3.80","21.66","87.44","","","","","21.60","","","","","71.94","10.17","6.44","3.97","6.36","Rwanda"
